entry,at,order
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-01-31T22:00:52.214Z,161213045222809
"""L. Owin @ Y1Q6ty6Yvq"" posts a small blind of 0.10",2021-01-31T22:00:52.214Z,161213045222808
"Your hand is 10♣, J♦",2021-01-31T22:00:52.214Z,161213045222805
"Player stacks: #3 ""L. Owin @ Y1Q6ty6Yvq"" (26.85) | #5 ""Scott @ Ce3DFmEur5"" (61.50) | #7 ""Ghostwolf @ TM_EZWTwR8"" (6.53) | #8 ""Bees? @ COcCB7d7q3"" (45.12)",2021-01-31T22:00:52.214Z,161213045222803
"-- starting hand #49  (No Limit Texas Hold'em) (dead button) --",2021-01-31T22:00:52.214Z,161213045222802
"The player ""Danny @ oePrpQLEIu"" quits the game with a stack of 0.00.",2021-01-31T22:00:52.214Z,161213045222801
"The player ""Kenneth @ bRH6Ev2V8V"" quits the game with a stack of 0.00.",2021-01-31T22:00:52.214Z,161213045222800
"-- ending hand #48 --",2021-01-31T22:00:40.645Z,161213044064802
"""Bees? @ COcCB7d7q3"" collected 0.90 from pot with Pair, A's (combination: A♥, A♦, K♠, Q♥, 9♦)",2021-01-31T22:00:40.645Z,161213044064801
"""Bees? @ COcCB7d7q3"" collected 36.60 from pot with Pair, A's (combination: A♥, A♦, K♠, Q♥, 9♦)",2021-01-31T22:00:40.645Z,161213044064800
"River: Q♥, 5♣, A♦, 6♥ [9♦]",2021-01-31T22:00:37.601Z,161213043760500
"Turn: Q♥, 5♣, A♦ [6♥]",2021-01-31T22:00:34.567Z,161213043457000
"""Kenneth @ bRH6Ev2V8V"" shows a K♦, 6♠.",2021-01-31T22:00:31.555Z,161213043155602
"""Bees? @ COcCB7d7q3"" shows a A♥, K♠.",2021-01-31T22:00:31.555Z,161213043155601
"""Danny @ oePrpQLEIu"" shows a J♠, 8♠.",2021-01-31T22:00:31.555Z,161213043155600
"""Kenneth @ bRH6Ev2V8V"" calls 0.45 and go all in",2021-01-31T22:00:30.749Z,161213043074900
"""Bees? @ COcCB7d7q3"" bets 0.45",2021-01-31T22:00:28.715Z,161213042871600
"Flop:  [Q♥, 5♣, A♦]",2021-01-31T22:00:15.836Z,161213041583700
"""Kenneth @ bRH6Ev2V8V"" calls 12.00",2021-01-31T22:00:15.028Z,161213041502900
"""Bees? @ COcCB7d7q3"" calls 12.00",2021-01-31T22:00:13.020Z,161213041302100
"""Ghostwolf @ TM_EZWTwR8"" folds",2021-01-31T22:00:10.039Z,161213041004000
"""Scott @ Ce3DFmEur5"" folds",2021-01-31T21:59:53.144Z,161213039314500
"""L. Owin @ Y1Q6ty6Yvq"" folds",2021-01-31T21:59:40.788Z,161213038078900
"""Danny @ oePrpQLEIu"" raises to 12.00 and go all in",2021-01-31T21:59:32.608Z,161213037260900
"""Kenneth @ bRH6Ev2V8V"" calls 0.40",2021-01-31T21:59:27.250Z,161213036725000
"""Bees? @ COcCB7d7q3"" raises to 0.40",2021-01-31T21:59:25.318Z,161213036531900
"""Ghostwolf @ TM_EZWTwR8"" calls 0.20",2021-01-31T21:59:22.600Z,161213036260000
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-01-31T21:59:08.898Z,161213034889800
"""L. Owin @ Y1Q6ty6Yvq"" posts a big blind of 0.20",2021-01-31T21:59:00.117Z,161213034012110
"""Danny @ oePrpQLEIu"" posts a small blind of 0.10",2021-01-31T21:59:00.117Z,161213034012109
"Your hand is 8♣, Q♦",2021-01-31T21:59:00.117Z,161213034012105
"Player stacks: #1 ""Danny @ oePrpQLEIu"" (12.00) | #3 ""L. Owin @ Y1Q6ty6Yvq"" (27.05) | #5 ""Scott @ Ce3DFmEur5"" (61.70) | #7 ""Ghostwolf @ TM_EZWTwR8"" (6.73) | #8 ""Bees? @ COcCB7d7q3"" (20.07) | #9 ""Kenneth @ bRH6Ev2V8V"" (12.45)",2021-01-31T21:59:00.117Z,161213034012102
"-- starting hand #48  (No Limit Texas Hold'em) (dealer: ""Kenneth @ bRH6Ev2V8V"") --",2021-01-31T21:59:00.117Z,161213034012101
"The player ""LttleBttn @ omhKo0nC2h"" quits the game with a stack of 0.00.",2021-01-31T21:59:00.117Z,161213034012100
"""Danny @ oePrpQLEIu"" shows a A♣, 8♣.",2021-01-31T21:58:58.760Z,161213033876100
"-- ending hand #47 --",2021-01-31T21:58:53.608Z,161213033361304
"""L. Owin @ Y1Q6ty6Yvq"" collected 0.45 from pot with Two Pair, J's & 7's (combination: J♠, J♣, 7♠, 7♦, A♦)",2021-01-31T21:58:53.608Z,161213033361303
"""Kenneth @ bRH6Ev2V8V"" shows a 6♦, K♥.",2021-01-31T21:58:53.608Z,161213033361302
"""L. Owin @ Y1Q6ty6Yvq"" collected 6.40 from pot with Two Pair, J's & 7's (combination: J♠, J♣, 7♠, 7♦, A♦)",2021-01-31T21:58:53.608Z,161213033361301
"""L. Owin @ Y1Q6ty6Yvq"" shows a A♦, 7♠.",2021-01-31T21:58:53.608Z,161213033361300
"""L. Owin @ Y1Q6ty6Yvq"" checks",2021-01-31T21:58:52.799Z,161213033280000
"""Danny @ oePrpQLEIu"" checks",2021-01-31T21:58:50.830Z,161213033083000
"""Kenneth @ bRH6Ev2V8V"" checks",2021-01-31T21:58:48.344Z,161213032834500
"River: 7♦, 2♦, 6♥, J♠ [J♣]",2021-01-31T21:58:44.458Z,161213032446800
"""L. Owin @ Y1Q6ty6Yvq"" checks",2021-01-31T21:58:43.648Z,161213032364900
"""Danny @ oePrpQLEIu"" checks",2021-01-31T21:58:35.040Z,161213031504100
"""Kenneth @ bRH6Ev2V8V"" checks",2021-01-31T21:58:32.719Z,161213031272000
"Turn: 7♦, 2♦, 6♥ [J♠]",2021-01-31T21:58:26.620Z,161213030662200
"""Danny @ oePrpQLEIu"" calls 1.00",2021-01-31T21:58:25.810Z,161213030581100
"""Kenneth @ bRH6Ev2V8V"" calls 1.00",2021-01-31T21:58:18.031Z,161213029803600
"""Bees? @ COcCB7d7q3"" folds",2021-01-31T21:58:14.800Z,161213029480100
"""LttleBttn @ omhKo0nC2h"" calls 0.85 and go all in",2021-01-31T21:58:13.888Z,161213029388900
"""L. Owin @ Y1Q6ty6Yvq"" raises to 1.00",2021-01-31T21:58:10.005Z,161213029000600
"""Danny @ oePrpQLEIu"" calls 0.20",2021-01-31T21:58:05.770Z,161213028577100
"""Kenneth @ bRH6Ev2V8V"" bets 0.20",2021-01-31T21:58:03.837Z,161213028383800
"Flop:  [7♦, 2♦, 6♥]",2021-01-31T21:57:49.352Z,161213026935300
"""Kenneth @ bRH6Ev2V8V"" calls 0.60",2021-01-31T21:57:48.546Z,161213026854600
"""Bees? @ COcCB7d7q3"" calls 0.60",2021-01-31T21:57:44.217Z,161213026421800
"""LttleBttn @ omhKo0nC2h"" calls 0.60",2021-01-31T21:57:35.590Z,161213025559100
"""L. Owin @ Y1Q6ty6Yvq"" calls 0.60",2021-01-31T21:57:28.652Z,161213024865300
