entry,at,order
"The player ""Meg @ 4BdrrgRXbo"" quits the game with a stack of 0.00.",2021-02-06T10:59:37.098Z,161260917710200
"-- ending hand #36 --",2021-02-06T10:59:19.182Z,161260915918404
"""Meg @ 4BdrrgRXbo"" shows a Q♦, 6♦.",2021-02-06T10:59:19.182Z,161260915918403
"""Scott @ Ce3DFmEur5"" collected 1.64 from pot with Full House, 10's over Q's (combination: 10♣, 10♥, 10♠, Q♠, Q♥)",2021-02-06T10:59:19.182Z,161260915918402
"""Scott @ Ce3DFmEur5"" shows a 10♣, 10♥.",2021-02-06T10:59:19.182Z,161260915918401
"Uncalled bet of 0.78 returned to ""Scott @ Ce3DFmEur5""",2021-02-06T10:59:19.182Z,161260915918400
"""Meg @ 4BdrrgRXbo"" calls 0.22 and go all in",2021-02-06T10:59:18.376Z,161260915837700
"""Scott @ Ce3DFmEur5"" raises to 1.00",2021-02-06T10:59:10.642Z,161260915064300
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T10:59:05.583Z,161260914558400
"River: 10♠, Q♠, 7♦, 9♦ [Q♥]",2021-02-06T10:59:00.724Z,161260914072700
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:58:59.911Z,161260913991200
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T10:58:58.469Z,161260913847000
"Turn: 10♠, Q♠, 7♦ [9♦]",2021-02-06T10:58:53.739Z,161260913374000
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:58:52.932Z,161260913293300
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:58:46.334Z,161260912633400
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:58:43.129Z,161260912313000
"Flop:  [10♠, Q♠, 7♦]",2021-02-06T10:58:38.609Z,161260911861000
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:58:37.799Z,161260911780000
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:58:31.227Z,161260911122800
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.20",2021-02-06T10:58:29.011Z,161260910901205
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T10:58:29.011Z,161260910901204
"Your hand is 10♣, 10♥",2021-02-06T10:58:29.011Z,161260910901203
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (0.82) | #9 ""Scott @ Ce3DFmEur5"" (19.18)",2021-02-06T10:58:29.011Z,161260910901201
"-- starting hand #36  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T10:58:29.011Z,161260910901200
"-- ending hand #35 --",2021-02-06T10:58:16.810Z,161260909681203
"""Meg @ 4BdrrgRXbo"" shows a J♦, J♥.",2021-02-06T10:58:16.810Z,161260909681202
"""Scott @ Ce3DFmEur5"" collected 2.00 from pot with Two Pair, 3's & 2's (combination: 3♥, 3♠, 2♣, 2♥, 7♥)",2021-02-06T10:58:16.810Z,161260909681201
"""Scott @ Ce3DFmEur5"" shows a 3♥, 2♣.",2021-02-06T10:58:16.810Z,161260909681200
"""Scott @ Ce3DFmEur5"" calls 0.40",2021-02-06T10:58:15.971Z,161260909597300
"""Meg @ 4BdrrgRXbo"" raises to 0.40",2021-02-06T10:58:12.729Z,161260909273400
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:58:00.020Z,161260908002000
"River: 5♦, 2♥, 7♥, 3♠ [6♠]",2021-02-06T10:57:49.254Z,161260906925600
"""Scott @ Ce3DFmEur5"" calls 0.40",2021-02-06T10:57:48.444Z,161260906844600
"""Meg @ 4BdrrgRXbo"" raises to 0.40",2021-02-06T10:57:43.875Z,161260906387600
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:57:27.285Z,161260904728500
"Turn: 5♦, 2♥, 7♥ [3♠]",2021-02-06T10:57:25.180Z,161260904518200
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:57:24.374Z,161260904437500
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:57:23.289Z,161260904329000
"Flop:  [5♦, 2♥, 7♥]",2021-02-06T10:57:17.811Z,161260903781200
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:57:17.001Z,161260903700200
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:57:15.055Z,161260903505500
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-02-06T10:57:11.296Z,161260903129705
"""Meg @ 4BdrrgRXbo"" posts a small blind of 0.10",2021-02-06T10:57:11.296Z,161260903129704
"Your hand is 3♥, 2♣",2021-02-06T10:57:11.296Z,161260903129703
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (1.82) | #9 ""Scott @ Ce3DFmEur5"" (18.18)",2021-02-06T10:57:11.296Z,161260903129701
"-- starting hand #35  (No Limit Texas Hold'em) (dealer: ""Meg @ 4BdrrgRXbo"") --",2021-02-06T10:57:11.296Z,161260903129700
"-- ending hand #34 --",2021-02-06T10:57:02.148Z,161260902215003
"""Meg @ 4BdrrgRXbo"" shows a 2♦, 7♦.",2021-02-06T10:57:02.148Z,161260902215002
"""Scott @ Ce3DFmEur5"" collected 1.60 from pot with Pair, Q's (combination: Q♣, Q♥, 9♥, 8♣, 7♣)",2021-02-06T10:57:02.148Z,161260902215001
"""Scott @ Ce3DFmEur5"" shows a Q♣, 6♠.",2021-02-06T10:57:02.148Z,161260902215000
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:57:01.342Z,161260902134300
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T10:56:54.797Z,161260901479800
"River: Q♥, 7♣, 3♣, 8♣ [9♥]",2021-02-06T10:56:43.525Z,161260900352700
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:56:42.717Z,161260900271800
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T10:56:11.214Z,161260897121500
"Turn: Q♥, 7♣, 3♣ [8♣]",2021-02-06T10:56:05.864Z,161260896586500
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:56:05.056Z,161260896505700
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T10:56:03.491Z,161260896349200
"Flop:  [Q♥, 7♣, 3♣]",2021-02-06T10:55:55.198Z,161260895519900
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:55:54.392Z,161260895439300
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:55:08.367Z,161260890837000
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.20",2021-02-06T10:55:04.397Z,161260890439805
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T10:55:04.397Z,161260890439804
"Your hand is Q♣, 6♠",2021-02-06T10:55:04.397Z,161260890439803
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (2.62) | #9 ""Scott @ Ce3DFmEur5"" (17.38)",2021-02-06T10:55:04.397Z,161260890439801
"-- starting hand #34  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T10:55:04.397Z,161260890439800
"-- ending hand #33 --",2021-02-06T10:54:02.173Z,161260884217403
"""Scott @ Ce3DFmEur5"" shows a 7♦, J♠.",2021-02-06T10:54:02.173Z,161260884217402
"""Meg @ 4BdrrgRXbo"" collected 0.40 from pot with Full House, 2's over 5's (combination: 2♠, 2♦, 2♥, 5♠, 5♥)",2021-02-06T10:54:02.173Z,161260884217401
"""Meg @ 4BdrrgRXbo"" shows a 2♠, 5♠.",2021-02-06T10:54:02.173Z,161260884217400
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:54:01.362Z,161260884136300
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:54:00.267Z,161260884026700
"River: 2♦, 5♥, 2♥, J♦ [10♥]",2021-02-06T10:53:55.937Z,161260883593900
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:53:55.130Z,161260883513100
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:53:54.041Z,161260883404200
"Turn: 2♦, 5♥, 2♥ [J♦]",2021-02-06T10:53:47.008Z,161260882700900
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:53:46.202Z,161260882620300
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:53:45.123Z,161260882512400
"Flop:  [2♦, 5♥, 2♥]",2021-02-06T10:53:30.236Z,161260881023700
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:53:29.430Z,161260880943100
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:53:20.315Z,161260880031600
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-02-06T10:53:17.044Z,161260879704605
"""Meg @ 4BdrrgRXbo"" posts a small blind of 0.10",2021-02-06T10:53:17.044Z,161260879704604
"Your hand is 7♦, J♠",2021-02-06T10:53:17.044Z,161260879704603
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (2.42) | #9 ""Scott @ Ce3DFmEur5"" (17.58)",2021-02-06T10:53:17.044Z,161260879704601
"-- starting hand #33  (No Limit Texas Hold'em) (dealer: ""Meg @ 4BdrrgRXbo"") --",2021-02-06T10:53:17.044Z,161260879704600
"-- ending hand #32 --",2021-02-06T10:53:07.376Z,161260878737803
"""Meg @ 4BdrrgRXbo"" shows a 8♠, J♥.",2021-02-06T10:53:07.376Z,161260878737802
"""Scott @ Ce3DFmEur5"" collected 1.60 from pot with Two Pair, K's & 6's (combination: K♦, K♣, 6♣, 6♠, A♥)",2021-02-06T10:53:07.376Z,161260878737801
"""Scott @ Ce3DFmEur5"" shows a 6♣, 7♠.",2021-02-06T10:53:07.376Z,161260878737800
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:53:06.570Z,161260878657100
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T10:53:03.753Z,161260878375400
"River: 5♣, 6♠, A♥, K♦ [K♣]",2021-02-06T10:52:50.645Z,161260877064700
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:52:49.837Z,161260876983800
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:52:45.609Z,161260876561000
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:52:43.274Z,161260876327500
"Turn: 5♣, 6♠, A♥ [K♦]",2021-02-06T10:52:38.543Z,161260875854400
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:52:37.735Z,161260875773500
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:52:28.050Z,161260874805100
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:52:22.253Z,161260874225400
"Flop:  [5♣, 6♠, A♥]",2021-02-06T10:52:16.965Z,161260873696600
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:52:16.155Z,161260873615600
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:52:13.454Z,161260873345500
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.20",2021-02-06T10:51:59.899Z,161260871990105
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T10:51:59.899Z,161260871990104
"Your hand is 6♣, 7♠",2021-02-06T10:51:59.899Z,161260871990103
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (3.22) | #9 ""Scott @ Ce3DFmEur5"" (16.78)",2021-02-06T10:51:59.899Z,161260871990101
"-- starting hand #32  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T10:51:59.899Z,161260871990100
"""Meg @ 4BdrrgRXbo"" shows a J♥, K♦.",2021-02-06T10:51:50.619Z,161260871062000
"-- ending hand #31 --",2021-02-06T10:51:46.280Z,161260870628102
"""Scott @ Ce3DFmEur5"" collected 0.80 from pot with Pair, 7's (combination: 7♦, 7♥, 10♣, 9♦, 6♠)",2021-02-06T10:51:46.280Z,161260870628101
"""Scott @ Ce3DFmEur5"" shows a 7♦, 7♥.",2021-02-06T10:51:46.280Z,161260870628100
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:51:45.474Z,161260870547500
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:51:44.385Z,161260870438600
"River: 10♣, 3♣, 6♠, 2♣ [9♦]",2021-02-06T10:51:39.489Z,161260869949100
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:51:38.682Z,161260869868300
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:51:30.327Z,161260869032800
"Turn: 10♣, 3♣, 6♠ [2♣]",2021-02-06T10:51:28.040Z,161260868804400
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:51:27.230Z,161260868723100
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:51:26.146Z,161260868614700
"Flop:  [10♣, 3♣, 6♠]",2021-02-06T10:51:21.792Z,161260868179300
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:51:20.984Z,161260868098500
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:51:15.922Z,161260867592300
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-02-06T10:51:10.657Z,161260867065805
"""Meg @ 4BdrrgRXbo"" posts a small blind of 0.10",2021-02-06T10:51:10.657Z,161260867065804
"Your hand is 7♦, 7♥",2021-02-06T10:51:10.657Z,161260867065803
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (3.62) | #9 ""Scott @ Ce3DFmEur5"" (16.38)",2021-02-06T10:51:10.657Z,161260867065801
"-- starting hand #31  (No Limit Texas Hold'em) (dealer: ""Meg @ 4BdrrgRXbo"") --",2021-02-06T10:51:10.657Z,161260867065800
"-- ending hand #30 --",2021-02-06T10:51:04.857Z,161260866485802
"""Meg @ 4BdrrgRXbo"" collected 0.40 from pot with Two Pair, 8's & 4's (combination: 8♠, 8♥, 4♦, 4♣, Q♣)",2021-02-06T10:51:04.857Z,161260866485801
"""Meg @ 4BdrrgRXbo"" shows a 8♠, 4♦.",2021-02-06T10:51:04.857Z,161260866485800
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:51:04.046Z,161260866404700
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:51:02.049Z,161260866205000
"River: 4♣, 3♥, 8♥, 3♣ [Q♣]",2021-02-06T10:50:55.022Z,161260865502400
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:50:54.212Z,161260865421300
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:50:53.277Z,161260865327800
"Turn: 4♣, 3♥, 8♥ [3♣]",2021-02-06T10:50:46.946Z,161260864694800
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:50:46.136Z,161260864613700
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:50:44.241Z,161260864424200
"Flop:  [4♣, 3♥, 8♥]",2021-02-06T10:50:36.511Z,161260863651200
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:50:35.693Z,161260863569400
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T10:50:33.037Z,161260863303700
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.20",2021-02-06T10:50:30.426Z,161260863042805
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T10:50:30.426Z,161260863042804
"Your hand is 2♠, 6♥",2021-02-06T10:50:30.426Z,161260863042803
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (3.42) | #9 ""Scott @ Ce3DFmEur5"" (16.58)",2021-02-06T10:50:30.426Z,161260863042801
"-- starting hand #30  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T10:50:30.426Z,161260863042800
"""Meg @ 4BdrrgRXbo"" shows a J♥, 5♣.",2021-02-06T10:50:25.431Z,161260862543200
"-- ending hand #29 --",2021-02-06T10:50:20.807Z,161260862080902
"""Scott @ Ce3DFmEur5"" collected 0.40 from pot with Pair, 9's (combination: 9♣, 9♦, A♦, K♦, J♠)",2021-02-06T10:50:20.807Z,161260862080901
"""Scott @ Ce3DFmEur5"" shows a 9♣, J♠.",2021-02-06T10:50:20.807Z,161260862080900
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:50:19.998Z,161260861999900
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:50:10.308Z,161260861031000
"River: 4♣, 9♦, K♦, A♦ [5♦]",2021-02-06T10:50:07.287Z,161260860728900
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:50:06.479Z,161260860647900
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:50:05.395Z,161260860539600
"Turn: 4♣, 9♦, K♦ [A♦]",2021-02-06T10:49:56.831Z,161260859683200
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:49:56.023Z,161260859602500
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:49:49.273Z,161260858927400
"Flop:  [4♣, 9♦, K♦]",2021-02-06T10:49:46.108Z,161260858610900
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:49:45.299Z,161260858530000
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:49:37.928Z,161260857792900
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-02-06T10:49:35.079Z,161260857508005
"""Meg @ 4BdrrgRXbo"" posts a small blind of 0.10",2021-02-06T10:49:35.079Z,161260857508004
"Your hand is 9♣, J♠",2021-02-06T10:49:35.079Z,161260857508003
"Player stacks: #6 ""Meg @ 4BdrrgRXbo"" (3.62) | #9 ""Scott @ Ce3DFmEur5"" (16.38)",2021-02-06T10:49:35.079Z,161260857508001
"-- starting hand #29  (No Limit Texas Hold'em) (dealer: ""Meg @ 4BdrrgRXbo"") --",2021-02-06T10:49:35.079Z,161260857508000
"""Meg @ 4BdrrgRXbo"" shows a K♥, 9♦.",2021-02-06T10:49:26.218Z,161260856621900
"-- ending hand #28 --",2021-02-06T10:49:19.601Z,161260855960302
"""Scott @ Ce3DFmEur5"" collected 0.80 from pot with Two Pair, Q's & 6's (combination: Q♦, Q♥, 6♠, 6♦, 9♠)",2021-02-06T10:49:19.601Z,161260855960301
"""Scott @ Ce3DFmEur5"" shows a 8♣, Q♦.",2021-02-06T10:49:19.601Z,161260855960300
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T10:49:18.796Z,161260855879600
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T10:49:08.770Z,161260854877100
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:49:04.830Z,161260854483100
"River: 6♠, 5♥, 9♠, 6♦ [Q♥]",2021-02-06T10:49:01.081Z,161260854108500
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T10:49:00.269Z,161260854027000
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T10:48:56.357Z,161260853635900
