entry,at,order
"""Bill @ 30MMPcYe6a"" folds",2020-12-09T21:41:36.546Z,160755009654700
"""Danny gg @ Ps4R1ucHpx"" posts a big blind of 0.04",2020-12-09T21:37:58.159Z,160754987816408
"""Michael @ Fer4N75h9y"" posts a small blind of 0.02",2020-12-09T21:37:58.159Z,160754987816407
"Your hand is 2♣, 8♥",2020-12-09T21:37:58.159Z,160754987816403
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (6.71) | #8 ""Danny gg @ Ps4R1ucHpx"" (4.16) | #9 ""Bill @ 30MMPcYe6a"" (3.60) | #10 ""Senior sc @ emrvlL9MHI"" (9.53)",2020-12-09T21:37:58.159Z,160754987816402
"-- starting hand #76  (No Limit Texas Hold'em) (dealer: ""Senior sc @ emrvlL9MHI"") --",2020-12-09T21:37:58.159Z,160754987816401
"The player ""Kieran @ k702YZnSVb"" quits the game with a stack of 0.00.",2020-12-09T21:37:58.159Z,160754987816400
"""Senior sc @ emrvlL9MHI"" shows a 4♠, K♥.",2020-12-09T21:37:52.534Z,160754987253500
"""Danny gg @ Ps4R1ucHpx"" shows a 6♣, 9♣.",2020-12-09T21:37:52.073Z,160754987207400
"-- ending hand #75 --",2020-12-09T21:37:51.140Z,160754987114201
"""Michael @ Fer4N75h9y"" collected 1.94 from pot with Straight, 10 High (combination: 10♣, 9♠, 8♦, 7♦, 6♥)",2020-12-09T21:37:51.140Z,160754987114200
"river: 10♣, 7♦, 9♠, 7♣ [5♠]",2020-12-09T21:37:48.117Z,160754986812200
"""Kieran @ k702YZnSVb"" shows a Q♦, 9♥.",2020-12-09T21:37:45.084Z,160754986508502
"""Michael @ Fer4N75h9y"" shows a 6♥, 8♦.",2020-12-09T21:37:45.084Z,160754986508501
"Uncalled bet of 0.63 returned to ""Michael @ Fer4N75h9y""",2020-12-09T21:37:45.084Z,160754986508500
"""Kieran @ k702YZnSVb"" calls 0.37 and go all in",2020-12-09T21:37:44.276Z,160754986427700
"""Michael @ Fer4N75h9y"" bets 1.00",2020-12-09T21:37:41.785Z,160754986178600
"turn: 10♣, 7♦, 9♠ [7♣]",2020-12-09T21:37:36.016Z,160754985601900
"""Senior sc @ emrvlL9MHI"" folds",2020-12-09T21:37:35.212Z,160754985521300
"""Bill @ 30MMPcYe6a"" folds",2020-12-09T21:37:34.274Z,160754985427500
"""Danny gg @ Ps4R1ucHpx"" folds",2020-12-09T21:37:29.988Z,160754984998900
"""Kieran @ k702YZnSVb"" calls 0.50",2020-12-09T21:37:21.001Z,160754984100200
"""Michael @ Fer4N75h9y"" bets 0.50",2020-12-09T21:37:17.998Z,160754983799900
"""Senior sc @ emrvlL9MHI"" checks",2020-12-09T21:37:08.440Z,160754982844100
"flop:  [10♣, 7♦, 9♠]",2020-12-09T21:37:00.338Z,160754982033900
"""Michael @ Fer4N75h9y"" checks",2020-12-09T21:36:59.530Z,160754981953100
"""Senior sc @ emrvlL9MHI"" calls 0.04",2020-12-09T21:36:58.096Z,160754981809700
"""Bill @ 30MMPcYe6a"" calls 0.04",2020-12-09T21:36:57.160Z,160754981716100
"""Danny gg @ Ps4R1ucHpx"" calls 0.04",2020-12-09T21:36:56.240Z,160754981624100
"""Kieran @ k702YZnSVb"" calls 0.04",2020-12-09T21:36:51.692Z,160754981169200
"""Michael @ Fer4N75h9y"" posts a big blind of 0.04",2020-12-09T21:36:42.581Z,160754980258208
"""Senior sc @ emrvlL9MHI"" posts a small blind of 0.02",2020-12-09T21:36:42.581Z,160754980258207
"Your hand is 6♥, 8♦",2020-12-09T21:36:42.581Z,160754980258202
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (5.68) | #3 ""Kieran @ k702YZnSVb"" (0.91) | #8 ""Danny gg @ Ps4R1ucHpx"" (4.20) | #9 ""Bill @ 30MMPcYe6a"" (3.64) | #10 ""Senior sc @ emrvlL9MHI"" (9.57)",2020-12-09T21:36:42.581Z,160754980258201
"-- starting hand #75  (No Limit Texas Hold'em) (dealer: ""Bill @ 30MMPcYe6a"") --",2020-12-09T21:36:42.581Z,160754980258200
"""Senior sc @ emrvlL9MHI"" shows a 7♦, 9♣.",2020-12-09T21:36:33.222Z,160754979322300
"""Danny gg @ Ps4R1ucHpx"" shows a 7♠, 5♣.",2020-12-09T21:36:32.685Z,160754979268600
"Undealt cards: 3♥, 9♦, Q♥ [A♥, K♥]",2020-12-09T21:36:31.695Z,160754979170000
"-- ending hand #74 --",2020-12-09T21:36:30.406Z,160754979041202
"""Senior sc @ emrvlL9MHI"" collected 0.10 from pot",2020-12-09T21:36:30.406Z,160754979041201
"Uncalled bet of 0.04 returned to ""Senior sc @ emrvlL9MHI""",2020-12-09T21:36:30.406Z,160754979041200
"""Danny gg @ Ps4R1ucHpx"" folds",2020-12-09T21:36:29.590Z,160754978959100
"""Senior sc @ emrvlL9MHI"" bets 0.04",2020-12-09T21:36:21.290Z,160754978129100
"flop:  [3♥, 9♦, Q♥]",2020-12-09T21:36:16.728Z,160754977672900
"""Senior sc @ emrvlL9MHI"" checks",2020-12-09T21:36:15.918Z,160754977591900
"""Bill @ 30MMPcYe6a"" folds",2020-12-09T21:36:14.950Z,160754977495100
"""Danny gg @ Ps4R1ucHpx"" calls 0.04",2020-12-09T21:36:14.030Z,160754977403200
"""Kieran @ k702YZnSVb"" folds",2020-12-09T21:36:11.378Z,160754977138000
"""Michael @ Fer4N75h9y"" folds",2020-12-09T21:36:07.405Z,160754976740600
"""Senior sc @ emrvlL9MHI"" posts a big blind of 0.04",2020-12-09T21:36:03.809Z,160754976381008
"""Bill @ 30MMPcYe6a"" posts a small blind of 0.02",2020-12-09T21:36:03.809Z,160754976381007
"Your hand is 6♥, 4♣",2020-12-09T21:36:03.809Z,160754976381002
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (5.68) | #3 ""Kieran @ k702YZnSVb"" (0.91) | #8 ""Danny gg @ Ps4R1ucHpx"" (4.24) | #9 ""Bill @ 30MMPcYe6a"" (3.66) | #10 ""Senior sc @ emrvlL9MHI"" (9.51)",2020-12-09T21:36:03.809Z,160754976381001
"-- starting hand #74  (No Limit Texas Hold'em) (dealer: ""Danny gg @ Ps4R1ucHpx"") --",2020-12-09T21:36:03.809Z,160754976381000
"-- ending hand #73 --",2020-12-09T21:35:57.276Z,160754975727802
"""Danny gg @ Ps4R1ucHpx"" collected 0.28 from pot with Pair, 7's (combination: 7♣, 7♦, K♣, 9♥, 4♥)",2020-12-09T21:35:57.276Z,160754975727801
"""Danny gg @ Ps4R1ucHpx"" shows a 7♣, 2♠.",2020-12-09T21:35:57.276Z,160754975727800
"""Kieran @ k702YZnSVb"" checks",2020-12-09T21:35:56.451Z,160754975645100
"""Danny gg @ Ps4R1ucHpx"" checks",2020-12-09T21:35:54.854Z,160754975485500
"river: K♣, 7♦, 3♣, 4♥ [9♥]",2020-12-09T21:35:50.799Z,160754975080700
"""Kieran @ k702YZnSVb"" checks",2020-12-09T21:35:49.992Z,160754974999300
"""Danny gg @ Ps4R1ucHpx"" checks",2020-12-09T21:35:47.598Z,160754974759900
