entry,at,order
"""Dr. Hurst @ b7rmnGbpoR"" posts a big blind of 0.04",2021-01-14T21:46:02.654Z,161066076265506
"""Michael @ Fer4N75h9y"" posts a small blind of 0.02",2021-01-14T21:46:02.654Z,161066076265505
"Your hand is J♣, A♦",2021-01-14T21:46:02.654Z,161066076265504
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (4.40) | #2 ""Dr. Hurst @ b7rmnGbpoR"" (4.14) | #8 ""Scott @ Ce3DFmEur5"" (3.46)",2021-01-14T21:46:02.654Z,161066076265501
"-- starting hand #92  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-01-14T21:46:02.654Z,161066076265500
"""Michael @ Fer4N75h9y"" shows a 5♠, K♠.",2021-01-14T21:45:59.820Z,161066075982200
"-- ending hand #91 --",2021-01-14T21:45:56.143Z,161066075614602
"""Scott @ Ce3DFmEur5"" collected 0.46 from pot with Pair, 10's (combination: 10♠, 10♣, K♦, Q♣, 7♠)",2021-01-14T21:45:56.143Z,161066075614601
"""Scott @ Ce3DFmEur5"" shows a K♦, 10♠.",2021-01-14T21:45:56.143Z,161066075614600
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.13",2021-01-14T21:45:55.333Z,161066075533400
"""Scott @ Ce3DFmEur5"" bets 0.13",2021-01-14T21:45:51.276Z,161066075127700
"River: 2♥, 7♠, Q♣, 3♣ [10♣]",2021-01-14T21:45:40.339Z,161066074034500
"""Dr. Hurst @ b7rmnGbpoR"" checks",2021-01-14T21:45:39.529Z,161066073952900
"""Scott @ Ce3DFmEur5"" checks",2021-01-14T21:45:35.816Z,161066073581700
"Turn: 2♥, 7♠, Q♣ [3♣]",2021-01-14T21:45:31.857Z,161066073186100
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.04",2021-01-14T21:45:31.046Z,161066073104600
"""Michael @ Fer4N75h9y"" folds",2021-01-14T21:45:29.190Z,161066072919100
"""Scott @ Ce3DFmEur5"" bets 0.04",2021-01-14T21:45:26.524Z,161066072652500
"Flop:  [2♥, 7♠, Q♣]",2021-01-14T21:45:22.661Z,161066072266200
"""Michael @ Fer4N75h9y"" checks",2021-01-14T21:45:21.850Z,161066072185100
"""Scott @ Ce3DFmEur5"" calls 0.04",2021-01-14T21:45:19.968Z,161066071996900
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.04",2021-01-14T21:45:18.453Z,161066071845400
"""Michael @ Fer4N75h9y"" posts a big blind of 0.04",2021-01-14T21:45:11.744Z,161066071174506
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.02",2021-01-14T21:45:11.744Z,161066071174505
"Your hand is K♦, 10♠",2021-01-14T21:45:11.744Z,161066071174504
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (4.44) | #2 ""Dr. Hurst @ b7rmnGbpoR"" (4.35) | #8 ""Scott @ Ce3DFmEur5"" (3.21)",2021-01-14T21:45:11.744Z,161066071174501
"-- starting hand #91  (No Limit Texas Hold'em) (dealer: ""Dr. Hurst @ b7rmnGbpoR"") --",2021-01-14T21:45:11.744Z,161066071174500
"""Michael @ Fer4N75h9y"" shows a Q♥, 6♦.",2021-01-14T21:45:06.564Z,161066070656500
